20201223,徐汇,徐汇滨江,13年功能性四房，满二税少，正看小区花园，一梯一户。必看好房,2477万,4室2厅 | 220.59平米 | 南 | 精装 | 低楼层(共26层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Cy5QrC3cs_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,徐汇滨江电梯房，三房两卫单价低，近地铁必看好房,675万,3室1厅 | 103.81平米 | 南 | 简装 | 中楼层(共10层) | 1999年建 | 暂无数据,http://image1.ljcdn.com/110000-inspection/pc1_zsQySmxcf_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,顶楼复式，小区稀有，业主诚心出售，看房可安排。必看好房,3180万,5室3厅 | 301.42平米 | 南 | 精装 | 高楼层(共31层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UC6frW2e0_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,有名室内设计师获奖作品，满五唯一，南北通透，高区必看好房,3280万,4室2厅 | 281平米 | 南 北 | 精装 | 高楼层(共31层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qONdl1LCn_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,神仙露台、南北两房、一梯两户，改造性强必看好房,415万,2室1厅 | 58.33平米 | 南 北 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-2cbd75cb-bc30-470a-82d9-eb3a8ce0b24c.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,不同于其它房子位置好前排看江景正气南北通4房带阳台房主自荐,2530万,4室2厅 | 225.25平米 | 南 | 精装 | 低楼层(共35层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-969cbe48-f75e-41a2-9cfe-758662b8a630.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,徐汇滨江品质小区，满二税少，精装修拎包入住。,2990万,3室2厅 | 198.1平米 | 东南 南 | 精装 | 中楼层(共12层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_26FZeKJwV_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,顶楼复式带露台 视野开阔 物况好 精装修 随时看房,968万,4室3厅 | 179.7平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A45EfI3re_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,尚海湾前排高区江景大四房，保养好拎包入住，满五唯一,2900万,4室2厅 | 225.04平米 | 南 | 精装 | 高楼层(共36层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EJAqDwYE5_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,百汇园 3室2厅 南,2150万,3室2厅 | 175.23平米 | 南 | 精装 | 中楼层(共36层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_t4wG10j8h_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,一线江景大宅+特色地中海风+出国急售+免个税+有车位房主自荐,3500万,5室2厅 | 273.59平米 | 南 北 | 精装 | 高楼层(共35层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-f23f45b3-3efb-4596-8c49-132b29c8a876.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,从未住过人的大平层，楼层高视野好，地铁口，停车方便,5100万,4室2厅 | 376.42平米 | 南 | 精装 | 高楼层(共19层) | 2012年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-30acfc6f-e89c-4883-8b7c-ee7ea7f02102.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,高区一房，拎包入住，诚意出售，看房方便,950万,1室2厅 | 64.26平米 | 南 | 精装 | 中楼层(共36层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a65f5c4f-4697-4d1a-afe1-06a2130b3303_1000.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,底楼复式 改动灵活性大 业主诚意 使用面积大,2550万,6室4厅 | 262平米 | 南 | 简装 | 低楼层(共36层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z7Eeb6vNE_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,高区看江景，楼层好，精装修拎包住，户型正，诚售可看房主自荐,2850万,4室2厅 | 229.02平米 | 东南 | 精装 | 高楼层(共37层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ELRaAQ8Kr_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,高区看江，纯正三房户型，大开间横厅设计，一梯一户,2500万,3室2厅 | 188.18平米 | 西南 | 精装 | 高楼层(共36层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e517b9f0-5b9b-427a-a8a1-461c27c8224a.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,徐汇滨江2000年商品房+23号线植物园站+宝能1288公馆房主自荐,465万,2室1厅 | 64.92平米 | 南 北 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FyJ3aro2C_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,苑宏新上，一房，随时可签，业主诚意！,360万,1室1厅 | 35.98平米 | 西南 西 | 简装 | 高楼层(共6层) | 1987年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_69d6eKLET_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,徐汇滨江1房1厅，龙耀路地铁+国际传媒港+西岸枫林湾房主自荐,399万,1室1厅 | 60.52平米 | 南 | 简装 | 中楼层(共7层) | 1998年建 | 暂无数据,http://image1.ljcdn.com/110000-inspection/pc1_A5eRQPrbC_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,高区看江景和花园、户型正气采光好新装修不含个税房主自荐,1437万,2室2厅 | 110.58平米 | 南 | 精装 | 高楼层(共37层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RVvm9dp41_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,270° 水翼式观澜阳台 无装修 可随心设计房主自荐,4380万,4室2厅 | 287.14平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XlildEWoS_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,顶楼复式带露台，稀有房源急售，南北通4房，房主自荐,1149万,4室4厅 | 197平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vTll5DUWl_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,东边套看江景，带双车位，东边套看江，税费少，交通便,3780万,4室2厅 | 289平米 | 东南 | 精装 | 中楼层(共19层) | 2013年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_BmN4l6bSw.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,尚海湾豪庭(二期） 4室2厅 东南 南 西南房主自荐,5985万,4室2厅 | 399.51平米 | 东南 南 西南 | 精装 | 高楼层(共20层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-e8ba4e15-cfb6-4c89-89c6-05a71b429a9a.png.296x216.jpg
20201223,徐汇,徐汇滨江,合适的楼层 2年内的新装修 诚意出售价格可谈,620万,2室1厅 | 72平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lXJEFplAH_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,高层江景房，南向看江无遮挡，户型方正，精装修诚售,2638万,4室2厅 | 219.86平米 | 南 | 精装 | 高楼层(共30层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1b637qjns_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,尚海湾二期，精装四房，户型通透方正，环境好可看江,2780万,4室2厅 | 223.54平米 | 南 | 精装 | 低楼层(共31层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4wtgc8QC3_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,总高14层，低密度园林，客厅南向7米面宽，管家服务,3600万,3室2厅 | 236平米 | 南 | 精装 | 中楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A6yZr7sel_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,徐汇滨江标杆项目  低密度园林社区  全套房设计,3500万,3室2厅 | 236平米 | 南 | 精装 | 中楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XsnmY9EHf_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,新出电梯房，少有复式户型，主功能间均朝南，诚意出售,930万,3室2厅 | 140平米 | 南 北 | 简装 | 低楼层(共12层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KRCZXc1FP_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,满五年唯一无个税、滨江大宅、高品质生活,4750万,4室3厅 | 376.42平米 | 南 | 精装 | 低楼层(共19层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E8In6alDx_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,高区看江  全新 从未住过 四房 功能齐全,2700万,4室2厅 | 203平米 | 南 | 精装 | 中楼层(共30层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pcs3zZCzf_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,百汇园 1室2厅 南,1340万,1室2厅 | 96.1平米 | 南 | 精装 | 低楼层(共30层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qUPfkVXGW_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,总价低功能性强诚意出售带地下室使用面积大，随时看房房主自荐,1450万,3室2厅 | 188.64平米 | 南 | 精装 | 低楼层(共31层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-82fa45dc-d4b3-426a-868d-97177bb21397.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,稀有高区全明4房，楼层好视野开阔，户型正满5年精装,2450万,4室2厅 | 199平米 | 南 | 精装 | 中楼层(共37层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-10533413-7a05-404b-afe9-21f281b20bea.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,少有大一房舒服宜居、小区入门总价、全南视野无遮,1280万,1室2厅 | 94.19平米 | 南 | 精装 | 中楼层(共31层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hEeifVjwF_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,此房为少有全明户型，位于小区内侧，安静宜居。,768万,2室1厅 | 74.7平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 暂无数据,http://image1.ljcdn.com/110000-inspection/pc1_WkwF5FISN_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,01年商品房  中间楼层电梯房   满五唯一全明户型房主自荐,710万,2室1厅 | 109.58平米 | 南 | 精装 | 低楼层(共18层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1097b995-b7c1-4760-a726-629d7d454e1c.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,前排中区大两房 空调地暖全配 保养完好 拎包入住,1650万,2室2厅 | 119.52平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_SCLlixtPX_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,全明户型 房型方正 小区安静 配套齐全 潜力无限,588万,2室1厅 | 76.59平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-36e8730e-0f01-4ff5-9954-6c8ca28c3a1e.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,三期新房，全新未入住，业主诚意出售，价格可谈。,1740万,2室2厅 | 119.52平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wH6nFeYxT_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,前排沿江大平层、直面看江、精装、没住过人，视野好,5200万,4室2厅 | 399.51平米 | 南 | 精装 | 中楼层(共20层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uMCqZJu5P_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,00年小区房龄新，顶楼复式，房型少。房主自荐,725万,2室2厅 | 111.27平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zmbHekzK4_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,南北通全明户型，楼层好，1梯2户，得房率高，精装修.房主自荐,459万,2室1厅 | 64.92平米 | 南 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MtP1mlGuW_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,中间楼层，一梯两户，小区内部，不靠马路房主自荐,720万,2室2厅 | 108平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-7a18e4f6-dc61-4afb-92f6-5fb5d2e68e10.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,城市别墅挑空7米带200平米独用花园，使用面积1200平,5800万,6室3厅 | 284.5平米 | 南 | 精装 | 低楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8de326f26b9f256392c67ca226ef54a5-023.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,顶楼复式带露台，无同户型可比。业主急售南北通大4房房主自荐,890万,4室2厅 | 174.51平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20171120/9406902b-51dc-45b9-9c70-6e7e9b0588c4.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,前排高区一线江景急售！装修好XX超高！,2060万,3室2厅 | 175平米 | 南 | 精装 | 高楼层(共37层) | 2009年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20141208/3c9d30e4-d4ca-4436-ba1a-0b7b85f48c4a.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,诚意出售，通煤气，开发商统一装修,600万,1室1厅 | 67.76平米 | 南 | 精装 | 中楼层(共26层) | 2015年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-987c16ef-34e0-4533-b141-33247cb5dbfa.png.296x216.jpg
20201223,徐汇,徐汇滨江,高区景观房，低于市场价，业主诚意出售,608万,1室2厅 | 67平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,
20201223,徐汇,徐汇滨江,高区可看江，一南一北，两房视野好,1650万,2室2厅 | 125.12平米 | 南 | 精装 | 中楼层(共37层) | 2008年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/f7840994-28a2-491c-b7a7-9c4264ff43aa.png.296x216.jpg
20201223,徐汇,徐汇滨江,开发商精装修，江景房，此房为2019年底交付的次新房,1700万,2室2厅 | 119.52平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,http://image1.ljcdn.com/110000-inspection/315ac690c9aea2ba517a030e506739e1-045.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,中间楼层，一梯两户,得房率高，边套全明,630万,2室2厅 | 100.49平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/01c7c365-bf22-42ff-ad9f-e589df97b0c3.png.296x216.jpg
20201223,徐汇,徐汇滨江,百汇园 3室2厅 南,2378万,3室2厅 | 183平米 | 南 | 精装 | 中楼层(共31层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tHSGVlEir_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,尚海湾三期，开发商统一精装修拎包入住，看房方便,1620万,2室2厅 | 118.61平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_cxJ8MBNTa_3.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,高区复式大三房 可看江 精装修 双阳台,3100万,3室2厅 | 263.36平米 | 南 | 精装 | 高楼层(共36层) | 2013年建 | 板楼,http://image1.ljcdn.com/310000-inspection/738fdbe4-a24c-406f-a205-0e65c102b182_1000.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,滨江小区 3室1厅 南,798万,3室1厅 | 103.8平米 | 南 | 简装 | 低楼层(共10层) | 1999年建 | 暂无数据,http://image1.ljcdn.com/110000-inspection/d909c06f-ba87-432e-ab00-a701206e2821_1000.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,此房总价低，业主诚意出售，户型方正，看房基本方便,300万,1室1厅 | 29.39平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_rPnSAzJ1s_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,徐汇滨江，海珀旭晖，精装一室户，不可落户，看房方便,610万,1室2厅 | 67.88平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/502cbb1d-60d9-4b55-8930-9a4c0ace6b73.png.296x216.jpg
20201223,徐汇,徐汇滨江,一南两北，户型正气 ，拎包入住，高区正看黄浦江。,1580万,3室2厅 | 146.9平米 | 南 东南 | 精装 | 中楼层(共36层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pvZkC2wIr_1.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,高区可看江景小户型、房型方正、有钥匙、业主诚售,1720万,2室2厅 | 146.59平米 | 南 | 精装 | 高楼层(共36层) | 2013年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20151017/857f7bed-669c-49b5-9e55-2ca9f02b4564.jpg.296x216.jpg
20201223,徐汇,徐汇滨江,海珀旭晖酒店式公寓 1室2厅 南,650万,1室2厅 | 69平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,
20201223,徐汇,徐汇滨江,海珀旭晖酒店式公寓 1室2厅 南,610万,1室2厅 | 67.88平米 | 南 | 精装 | 中楼层(共26层) | 2013年建 | 板楼,
20201223,徐汇,徐汇滨江,海珀旭晖酒店式公寓 1室2厅 南,630万,1室2厅 | 67.76平米 | 南 | 简装 | 低楼层(共26层)  | 板楼,
