20201223,杨浦,五角场,五角场街道，楼层高采光好，户型双南全明，诚心卖必看好房,445万,2室1厅 | 78.16平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-f558e34d-e79c-4004-b30c-c4404de6a2ed.png.296x216.jpg
20201223,杨浦,五角场,优质两房，南北户型，满五唯一，中间楼层,460万,2室1厅 | 69.06平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AGfSqgKwX_1.jpg.296x216.jpg
20201223,杨浦,五角场,2006年次新小区，近地铁，采光好,980万,4室2厅 | 102.31平米 | 南 | 精装 | 高楼层(共5层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JklTAx4jX_1.jpg.296x216.jpg
20201223,杨浦,五角场,满五年+顶楼复式+阳光房已经搭好（60平）+97房龄,850万,4室3厅 | 145.54平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TtNcbZ6aY_1.jpg.296x216.jpg
20201223,杨浦,五角场,错层复式，电梯中层大开间设计，层次分明,1300万,4室2厅 | 171.53平米 | 南 | 精装 | 中楼层(共11层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zRe0mOnhb_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场低总价大三房，楼层佳，采光好,850万,3室2厅 | 136.1平米 | 东南 | 简装 | 高楼层(共28层) | 2002年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_GGCbJpkgs_1.jpg.296x216.jpg
20201223,杨浦,五角场,1梯2户+房型正气+有露台+满五年+近地铁房主自荐,920万,4室2厅 | 165.03平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dqcHNbU2G_1.jpg.296x216.jpg
20201223,杨浦,五角场,大诚花苑 4室1厅 东,1450万,4室1厅 | 215平米 | 东 | 精装 | 高楼层(共5层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_moRfzZqN4_1.jpg.296x216.jpg
20201223,杨浦,五角场,户型方正，得房率高，交通便利，诚意出售，居家装修,770万,4室1厅 | 140.31平米 | 南 | 精装 | 低楼层(共9层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bnXYMB9I1_1.jpg.296x216.jpg
20201223,杨浦,五角场,正宗两层+得房率90%+房东诚意出售+视野开阔+税费少,900万,4室2厅 | 181.15平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r111MtWmM_1.jpg.296x216.jpg
20201223,杨浦,五角场,朝南带花园+精装修+经典一室户+房型正气+配套成熟,288万,1室1厅 | 38.73平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QrlwMJOrZ_1.jpg.296x216.jpg
20201223,杨浦,五角场,售后公房，满五唯一房子税少。采光好,220万,1室1厅 | 36.65平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9hRls2tTw.jpg.296x216.jpg
20201223,杨浦,五角场,五角场国权路站，非顶楼，采光好，大两房，南北通房主自荐,394万,2室1厅 | 66.14平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h9wxU1zQX.jpg.296x216.jpg
20201223,杨浦,五角场,婚房装修+全明户型+三面采光+家具家电全给房主自荐,330万,2室1厅 | 50.31平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5SYoNHf5u_1.jpg.296x216.jpg
20201223,杨浦,五角场,此房为满五唯一的售后公房，10/18号线，配套齐全房主自荐,213万,1室1厅 | 35.8平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_otT8pUtOO.jpg.296x216.jpg
20201223,杨浦,五角场,双南两房精装修，小区里面位置，非顶楼,338万,2室1厅 | 50.77平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xBJZapOlZ.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一，双轨交通，诚心出售 ，精装修。,269万,1室1厅 | 45.1平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9lzm1dKtF.jpg.296x216.jpg
20201223,杨浦,五角场,无增值税+满五年唯一+采光好+交通方便+户型正气,355万,2室1厅 | 53.37平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8THDs0Cx8.jpg.296x216.jpg
20201223,杨浦,五角场,双轨交通，精装修，诚心出售，税费少，采光好。房主自荐,310万,1室1厅 | 46.95平米 | 南 | 精装 | 中楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h4D5nsW6o_1.jpg.296x216.jpg
20201223,杨浦,五角场,精装修 近地铁 商圈配套齐全 得房率高 采光好,220万,1室0厅 | 35.09平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a2fIK0xpK_1.jpg.296x216.jpg
20201223,杨浦,五角场,户型方正 楼层佳 满五唯一 诚心出售 交通便利房主自荐,249万,1室1厅 | 40.62平米 | 南 | 精装 | 低楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ej03f3zhG_1.jpg.296x216.jpg
20201223,杨浦,五角场,精装修+满五年+双南户型+诚意出售+不靠马路,328万,2室1厅 | 48.45平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vTbUTgxhi_1.jpg.296x216.jpg
20201223,杨浦,五角场,大学路地铁口 南北通 精装修 电梯高区 有钥匙,760万,2室2厅 | 88.65平米 | 南 | 精装 | 高楼层(共9层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lmOVdesjW_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场，单价低，一室一厅，满五唯一，诚意出售,265万,1室1厅 | 48.55平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Yu1OeDBtp_1.jpg.296x216.jpg
20201223,杨浦,五角场,大学路旁，近地铁，一梯三户，诚意出售,325万,2室1厅 | 53.4平米 | 南 | 毛坯 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_paif1XvQj_1.jpg.296x216.jpg
20201223,杨浦,五角场,怡福苑，满五唯一，2005年电梯房，近五角场商圈,560万,2室2厅 | 74.68平米 | 北 | 简装 | 25层 | 2005年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_BIK44uxgH_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场地铁口100米温馨家宅，三面全明阳光漫溢房主自荐,500万,2室1厅 | 73.3平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QsjUqHKJx_1.jpg.296x216.jpg
20201223,杨浦,五角场,复旦第十宿舍难得一楼两房，东边套全明户型，位置安静,390万,2室1厅 | 53.26平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ayGix77KC.jpg.296x216.jpg
20201223,杨浦,五角场,五角场，满五唯一，采光好，诚意出售，提前预约随时看,260万,1室1厅 | 41平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-4e1a36a3-2bf8-41a8-853d-4a5c7cdc9709.png.296x216.jpg
20201223,杨浦,五角场,小区正气三房 采光无遮挡 通风好 电梯房 无户口,900万,3室2厅 | 115.81平米 | 南 | 简装 | 低楼层(共8层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8V6fMnWUP_1.jpg.296x216.jpg
20201223,杨浦,五角场,三门路358弄 全明小户型 采光好，中间楼层， 财大复旦,272万,1室1厅 | 42.97平米 | 南 | 精装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PjsSKAhj4_1.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一！采光好！双轨交通！户型正气！产权清晰！,285万,1室1厅 | 44.47平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qyp8JLdFW_1.jpg.296x216.jpg
20201223,杨浦,五角场,全明户型，双轨交通，10号线，18号线，居家装修,354.6万,2室0厅 | 52.15平米 | 南 | 简装 | 低楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zEq0J07Xd_1.jpg.296x216.jpg
20201223,杨浦,五角场,杨浦五角场  满五   税费少  小三房 总价低,515万,3室1厅 | 72.67平米 | 南 北 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2NkALLCGW_1.jpg.296x216.jpg
20201223,杨浦,五角场,店长推荐！售后公房 满五唯一！居家精装！双南两房,440万,2室1厅 | 66.27平米 | 南 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G5L0pJkZV_1.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一 大一房 不靠马路，高楼层采光好。,335万,1室1厅 | 51.6平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qKzzfEBNw_1.jpg.296x216.jpg
20201223,杨浦,五角场,业主诚心出售,产权干净，到价签字，双轨交,315万,2室1厅 | 48.82平米 | 南 | 简装 | 低楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b00a9e26-442f-435a-adb4-f9c5bfc06d46.jpg.296x216.jpg
20201223,杨浦,五角场,北茶园 1室1厅 南,285万,1室1厅 | 44.44平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GNv1Ufcx3_1.jpg.296x216.jpg
20201223,杨浦,五角场,经典朝南一室户+不靠马路+近地铁+配套齐全房主自荐,275万,1室1厅 | 44.38平米 | 南 | 简装 | 低楼层(共4层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F3qgmvf1t_1.jpg.296x216.jpg
20201223,杨浦,五角场,房子满五年，楼层高，采光好，配套设施齐全，地段成熟,190万,1室0厅 | 29.76平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3xAakvEj5_1.jpg.296x216.jpg
20201223,杨浦,五角场,一房价买 精装小两房，地铁口，五角场街道，复旦户口,255万,2室0厅 | 46.06平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u2WIfEOaw_1.jpg.296x216.jpg
20201223,杨浦,五角场,双轨交通 户型方正 总价较低 配套齐全,225万,1室1厅 | 38.47平米 | 南 | 简装 | 高楼层(共4层) | 1976年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_10j8QM2Aa.jpg.296x216.jpg
20201223,杨浦,五角场,五角场街道，满五唯一，南北通，采光好，家具家电全留房主自荐,265万,1室1厅 | 45.8平米 | 南 北 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_59xSjyYIl_1.jpg.296x216.jpg
20201223,杨浦,五角场,采光无遮挡全明户型，房型正气，得房率高，诚意出售,760万,3室2厅 | 117.15平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_MupsNdkpt_1.jpg.296x216.jpg
20201223,杨浦,五角场,次新一房，采光好，全明户型，值得购买房主自荐,395万,1室2厅 | 58.48平米 | 西北 | 精装 | 23层 | 2005年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_U2oie0uPS_1.jpg.296x216.jpg
20201223,杨浦,五角场,紧靠复旦、正气小三房，近地铁，采光好房主自荐,470万,3室1厅 | 66.7平米 | 南 北 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_1eF1025Ds.jpg.296x216.jpg
20201223,杨浦,五角场,售后公房，满五年，税费少，带固定租赁车位,620万,3室2厅 | 97.18平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ME8TbbnfV.jpg.296x216.jpg
20201223,杨浦,五角场,南北卧，装修不错，可以拎包入住，采光较好房主自荐,338万,2室1厅 | 53.9平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_gE5f2Fx5g_1.jpg.296x216.jpg
20201223,杨浦,五角场,房型正气，一梯两户，交通便利，商圈繁华，配套齐全,465万,2室1厅 | 66.04平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fypQGaCjx_1.jpg.296x216.jpg
20201223,杨浦,五角场,次新小区 18号地铁 正对小区花园 日照充足,840万,3室2厅 | 136.05平米 | 南 | 精装 | 低楼层(共10层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nhCQO0ZMZ_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场/全明户型/96年房龄/满五唯一,390万,2室1厅 | 66.1平米 | 西 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Gow1K3DSE_1.jpg.296x216.jpg
20201223,杨浦,五角场,北茶园 1室2厅 南,315万,1室2厅 | 45.45平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WpJSS4DBE_1.jpg.296x216.jpg
20201223,杨浦,五角场,售后公房，户型方正，楼层佳，诚心出售,355万,2室1厅 | 53.16平米 | 东南 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kbs5QwopM_1.jpg.296x216.jpg
20201223,杨浦,五角场,此房低楼层，总价低，近地铁，商圈配套齐全房主自荐,260万,1室1厅 | 44.38平米 | 南 | 简装 | 低楼层(共4层) | 1976年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3ZIC60QuS_1.jpg.296x216.jpg
20201223,杨浦,五角场,满五年，通风采光好，税费低，房东诚意出售,232万,1室1厅 | 42.1平米 | 南 | 简装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PtHvhiEYO_1.jpg.296x216.jpg
20201223,杨浦,五角场,一梯两户得房率高+双南全明户型+非顶底楼+地铁口,458万,2室1厅 | 71.55平米 | 南 | 其他 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h45PUviNi_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场，满五唯一，采光好，诚意出售，提前预约随时看房主自荐,390万,2室1厅 | 57.01平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XzbncQ1Qj_1.jpg.296x216.jpg
20201223,杨浦,五角场,大三房+精装修+顶楼好+房东诚意售+视野开阔+税费少,535万,3室1厅 | 98.55平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VQqtfDADR_1.jpg.296x216.jpg
20201223,杨浦,五角场,同济北苑 非底层 采光好前面间距大 看房方便南北板式,700万,2室2厅 | 97.36平米 | 南 | 简装 | 低楼层(共11层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3POLLPJ5Q_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场街道精装修小二房出售 拎包入住 近18号线,308万,2室0厅 | 47.09平米 | 南 | 精装 | 低楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nrWgnX6Gx_1.jpg.296x216.jpg
20201223,杨浦,五角场,精装一房 厅房同宽 楼层好 满五税少房主自荐,305万,1室1厅 | 46.65平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kTpvp1DGu_1.jpg.296x216.jpg
20201223,杨浦,五角场,双轨交通， 五角场街道，满五年唯一，带地暖南北两房,338万,2室1厅 | 51.15平米 | 南 北 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MmKZxYYpQ.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一，税费少，东边套全明，,430万,2室1厅 | 63.19平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YDnY5tfD0_1.jpg.296x216.jpg
20201223,杨浦,五角场,采光超好的低楼层房源，小区中间位置,560万,1室2厅 | 63.14平米 | 南 | 简装 | 低楼层(共8层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_w7c0aAJlI_1.jpg.296x216.jpg
20201223,杨浦,五角场,明亮小户型，我有房子视频，要看的客户联系我,208万,1室1厅 | 40.88平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YRktSqNtT_1.jpg.296x216.jpg
20201223,杨浦,五角场,建新小区 1室1厅 南,215万,1室1厅 | 30.8平米 | 南 | 简装 | 低楼层(共5层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2Jm0uS3zc_1.jpg.296x216.jpg
20201223,杨浦,五角场,政通路118弄 2室1厅 南,418万,2室1厅 | 56.23平米 | 南 | 精装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B7sqmKvzp_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场街道一房，满五不唯一，采光好,238万,1室1厅 | 43.2平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8urbIqMWH.jpg.296x216.jpg
20201223,杨浦,五角场,南北户型+采光无优+满五唯一+近地铁,325万,2室1厅 | 53.09平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WPdd2BqBF_1.jpg.296x216.jpg
20201223,杨浦,五角场,林绿家园 1室1厅 南,335万,1室1厅 | 51.3平米 | 南 | 简装 | 低楼层(共16层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Y9Y8jxpvb_1.jpg.296x216.jpg
20201223,杨浦,五角场,东边套全明户型+精装修拎包入住+近地铁,345万,2室1厅 | 57.3平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MOsAnnQpT_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场大学路旁一房一厅，近10号在建18号线，配套齐全,312万,1室1厅 | 45.41平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/815ca994-e06b-4a7f-bc8c-52ac35325e9a_1000.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一，附阁楼，实际使用面积120平，诚意出售,1050万,3室2厅 | 94.14平米 | 南 北 | 精装 | 高楼层(共8层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5yqpcCRKo_1.jpg.296x216.jpg
20201223,杨浦,五角场,汇丰苑 2室1厅 南,355万,2室1厅 | 54.42平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Bm0tKFOBt_1.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一 近地铁 双南户型好 不靠马路采光通透,350万,2室0厅 | 51.24平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xh5E0py1j_1.jpg.296x216.jpg
20201223,杨浦,五角场,满五年，全明户型，南北都是小区绿化带，单价低,845万,3室2厅 | 135.24平米 | 南 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_cIuE80MD4_1.jpg.296x216.jpg
20201223,杨浦,五角场,房子满二唯一停车方便，需要置换，业主诚心出售房主自荐,266.5万,1室1厅 | 46.97平米 | 南 | 精装 | 高楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e1605f55-69bb-4b64-95fa-86aa24527445.jpg.296x216.jpg
20201223,杨浦,五角场,满五年唯一、得房率高、精装修、一梯两户、近地铁！,778万,3室2厅 | 112平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-69d26f84-32e4-4408-9332-e2b91da6d57b.jpg.296x216.jpg
20201223,杨浦,五角场,满五不唯一，南北通风，采光视野无遮挡，房龄新。,269万,1室1厅 | 40.73平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a9ulIKebp_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场街道、新出精装一房一厅，可拎包入住，满五唯一房主自荐,272万,1室1厅 | 48.73平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GHfXoONZA_1.jpg.296x216.jpg
20201223,杨浦,五角场,双轨覆盖+售后公房+采光充足+楼层好,410万,2室1厅 | 63.11平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hWJdFtusT_1.jpg.296x216.jpg
20201223,杨浦,五角场,一梯两户+精装修双南双阳台+采光好+房型正气+到价签字房主自荐,570万,2室1厅 | 94.81平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-76e54449-2578-477c-863e-af4c248cdea0.png.296x216.jpg
20201223,杨浦,五角场,厨卫朝北有明窗，一房朝南。总价低，自住，好出租房主自荐,208万,1室1厅 | 32.01平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-046e01a6-8d9a-415f-a91a-972901e0fbb2.png.296x216.jpg
20201223,杨浦,五角场,此房满五唯一交通便利+配套齐全+户型正气+产权清晰房主自荐,250万,1室1厅 | 40.59平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ssEe941tj_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场街道，正南大一房，总价不高，地铁近，出行方便,185万,1室0厅 | 34.84平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-3f4798a0-3958-4772-8344-6b1f9ef3cb9c.jpg.296x216.jpg
