20201223,杨浦,五角场,五角场街道，楼层高采光好，户型双南全明，诚心卖必看好房,445万,2室1厅 | 78.16平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-f558e34d-e79c-4004-b30c-c4404de6a2ed.png.296x216.jpg
20201223,杨浦,五角场,诚意出售， 视野开阔，精致户型，采光充足，近地铁,356万,1室1厅 | 57平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-87ceac1e-38ad-4b74-8ac5-2ef8196c6c04.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一带车位+国权路站100m+五角场街道房主自荐,275万,1室1厅 | 44.17平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_A9vsjInOR_1.jpg.296x216.jpg
20201223,杨浦,五角场,次新小区，环境佳，双南采光好，配套齐全，交通便利房主自荐,440万,2室1厅 | 61.29平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_gI3dY86Vb.jpg.296x216.jpg
20201223,杨浦,五角场,五角场次新小区，带花园，环境佳，配套齐，交通便利,430万,2室1厅 | 61.3平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZBLciGRSR.jpg.296x216.jpg
20201223,杨浦,五角场,房子满五不唯一，停车方便，需要置换，业主诚心出售,333万,2室1厅 | 47.68平米 | 南 | 精装 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8Cjzv2j4h_1.jpg.296x216.jpg
20201223,杨浦,五角场,此房满五不唯一交通便利+配套齐全+户型正气+产权清晰,261万,2室1厅 | 38.88平米 | 南 | 简装 | 中楼层(共5层) | 1974年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tPABOO70D_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场一室一厅，交通便利，98年房龄,295万,1室1厅 | 44.74平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aggQIOJdi_1.jpg.296x216.jpg
20201223,杨浦,五角场,售后公房，没有增值税，满五年税费少精装修拎包入住房主自荐,415万,2室1厅 | 65平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zGyg2qwpQ_1.jpg.296x216.jpg
20201223,杨浦,五角场,近地铁，诚心出售，产权清晰，配套齐全。,275万,1室1厅 | 43.13平米 | 东南 | 简装 | 低楼层(共5层) | 1974年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iycJvmzs4_1.jpg.296x216.jpg
20201223,杨浦,五角场,建新小区 1室1厅 南,223万,1室1厅 | 37.29平米 | 南 | 其他 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mRehrTCLZ_1.jpg.296x216.jpg
20201223,杨浦,五角场,政通路305弄 1室1厅 南,205万,1室1厅 | 28.88平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zVVsFaxSz_1.jpg.296x216.jpg
20201223,杨浦,五角场,近地铁，不靠马路，售后公房，满五不唯一,205万,1室0厅 | 32.81平米 | 南 | 毛坯 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KPJDnRMDu.jpg.296x216.jpg
20201223,杨浦,五角场,四平路2065弄 1室1厅 南,260万,1室1厅 | 41.09平米 | 南 | 精装 | 中楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7as2x1s84_1.jpg.296x216.jpg
20201223,杨浦,五角场,四平路2065弄 1室1厅 南,220万,1室1厅 | 33.94平米 | 南 | 精装 | 中楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PMPiA0R0W_1.jpg.296x216.jpg
20201223,杨浦,五角场,3年左右20万精装修+有天井10平方搭起来了+18号线200米,327万,2室1厅 | 46.82平米 | 南 北 | 精装 | 低楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YOkwTH1EJ_1.jpg.296x216.jpg
20201223,杨浦,五角场,四平路2065弄 1室0厅 南,222万,1室0厅 | 33.81平米 | 南 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jr8N5AihJ_1.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一，售后公房，近地铁，精装修，东边套全明,350万,2室1厅 | 49.76平米 | 南 | 精装 | 低楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sx25hZTq1_1.jpg.296x216.jpg
20201223,杨浦,五角场,售后公房，唯一，双南房间，不靠马路，精装修,475万,2室1厅 | 63.7平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9ZA5ZAf1r_1.jpg.296x216.jpg
20201223,杨浦,五角场,视线哇噻精装小两房，出行方便采光好,310万,2室1厅 | 55.52平米 | 南 北 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YV0JXX5Zx.jpg.296x216.jpg
20201223,杨浦,五角场,五角场街道小户型出售，2楼楼距离宽阔，采光充足房主自荐,220万,1室1厅 | 38.09平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_n3v3BFqI7_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场大学路 复式 挑高客厅 得房率高 10号线地铁站,1450万,3室2厅 | 195.7平米 | 南 | 精装 | 低楼层(共8层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BaYYYvDO0_1.jpg.296x216.jpg
20201223,杨浦,五角场,近大学路五角场，河景房，精装修房主自荐,326万,1室1厅 | 50.34平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-945d15da-1cf0-42cb-ad11-8a782fbb2754.jpg.296x216.jpg
20201223,杨浦,五角场,五角场街道 户型正气 小区位置好  近18号线号18号线新上,258万,1室1厅 | 41.13平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Qkm6ppCsG.jpg.296x216.jpg
20201223,杨浦,五角场,小区中间位置，五角场街道，精装修，拎包入住,215万,1室0厅 | 34.22平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c1zeryZpg_1.jpg.296x216.jpg
20201223,杨浦,五角场,创智3期+挑空客厅+满五唯一+采光充足+南北,1220万,3室2厅 | 136.98平米 | 南 | 精装 | 低楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_4vlKKpJA9_1.jpg.296x216.jpg
20201223,杨浦,五角场,店长推荐：五角场街道低总价一室户，美丽家园小区,203万,1室0厅 | 33.12平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c66e39c3-4b78-4239-8ed8-771789ef76cb.jpg.296x216.jpg
20201223,杨浦,五角场,税费低，交通便利，户型正气，装修好，可拎包入住,280万,1室1厅 | 44.29平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CygCoiguZ_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场 低楼层 双南两房 户型方正 带天井阳光房,330万,2室1厅 | 59平米 | 南 西南 | 简装 | 低楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_i7BfzgSBK_1.jpg.296x216.jpg
20201223,杨浦,五角场,政通路305弄 2室0厅 南,355万,2室0厅 | 46.54平米 | 南 | 简装 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pFBUwueBY_1.jpg.296x216.jpg
20201223,杨浦,五角场,采光好，楼层好，配套设施齐全，交通便利,272万,2室1厅 | 42.36平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_FRhsP9bBu_1.jpg.296x216.jpg
20201223,杨浦,五角场,配套齐全，交通便利，进地铁，产权清晰。看房方便。,265万,2室0厅 | 40.97平米 | 南 | 毛坯 | 低楼层(共5层) | 1974年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oK7CE4UnZ_1.jpg.296x216.jpg
20201223,杨浦,五角场,建新小区 1室0厅 北,172万,1室0厅 | 30.59平米 | 北 | 其他 | 低楼层(共5层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-46ce93e8-32cf-42cb-8bd8-ce024626858d.jpg.296x216.jpg
20201223,杨浦,五角场,近地铁 商圈配套齐全 得房率高 采光好,210万,1室1厅 | 35.57平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b4120097-fecf-47e8-bf94-f3ea92faf43b.jpg.296x216.jpg
20201223,杨浦,五角场,1999年 一梯2户  南北通  售后公房  无可挑剔,395万,2室1厅 | 66.71平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fj0PQ51dT_1.jpg.296x216.jpg
20201223,杨浦,五角场,精装+拎包入住+出租+五角场街道+双轨地铁,205万,1室1厅 | 32.79平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tY9bQng1J_1.jpg.296x216.jpg
20201223,杨浦,五角场,紧挨万达地铁口-两房带厅-厨卫朝外-满五年-毛坯,366万,2室1厅 | 58.05平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20171112/f57b12f2-5bed-4a77-8e78-d48a9112bf41.jpg.296x216.jpg
20201223,杨浦,五角场,10号线国权路，近五角场，复旦，满五唯一，精装，,276万,1室1厅 | 44.17平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170604/82c01116-b508-49f1-9505-0c1c6748af7a.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一，两南一北格局，全明户型，税费少,850万,4室1厅 | 141平米 | 南 | 精装 | 低楼层(共9层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/rsp_pic_upload070bd26f-472b-443a-90c4-59a7edff8dd0.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一，适合小上班族，近地铁口200米，方便快捷,238万,1室0厅 | 37.97平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/7430f1c9-e1a5-441f-9037-2030e0755846.png.296x216.jpg
20201223,杨浦,五角场,业主诚售+错层复式+买高税少+得房率高+全明户型采光好新上,1230万,4室2厅 | 163.32平米 | 南 北 | 简装 | 高楼层(共11层) | 2000年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/35da8c35-19df-40a9-86b1-a69f9345ba76.png.296x216.jpg
20201223,杨浦,五角场,飞机户型，五角场商圈，出房少，安静，采光视野好,838万,3室2厅 | 123.23平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/39cbe186-4014-46fa-8c6e-2de6f4980d55.jpg.296x216.jpg
20201223,杨浦,五角场,中间楼层+满五唯一税费少+一梯两户+南北通风户型好新上,350万,2室1厅 | 51.28平米 | 南 | 精装 | 中楼层(共6层) | 1981年建 | 板楼,
20201223,杨浦,五角场,经典复式+使用面积大+有大露台+得房率高+小区中间新上,1200万,5室3厅 | 171.06平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,
20201223,杨浦,五角场,五角场板块  近大学路  近万达广场 看房方便房主自荐,230万,1室1厅 | 37.29平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/173d7754-3a21-475c-8768-e0d81b357ceb.jpg.296x216.jpg
20201223,杨浦,五角场,房子双南户型，满五唯一，客厅方正。交通便利!新上,480万,2室1厅 | 71.54平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/4d6b770d-0c4c-40d2-bf93-4d3dcd329719.png.296x216.jpg
20201223,杨浦,五角场,售后公房无增值税，全明户型，一楼带20平天井,565万,3室1厅 | 76.17平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/f2d1c15f-43c3-4803-aab4-57bd17984622.jpg_600x450.jpg.296x216.jpg
20201223,杨浦,五角场,1992年全明/售后公房满五唯一/带大露台,328万,2室1厅 | 48.29平米 | 西南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/test-8aea1575-aa63-4942-9b02-f15575c87f05.png.296x216.jpg
20201223,杨浦,五角场,中间楼层好房源，税费少，业主诚意度高,360万,2室1厅 | 62.14平米 | 南 北 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/ef745c16-8bcb-453e-b69d-e225a3162e5b.png.296x216.jpg
20201223,杨浦,五角场,五角场国定路 顶楼复式 带80平露台房主自荐,880万,4室3厅 | 165平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,
20201223,杨浦,五角场,文化花园平层4房，南北户型位置好，地铁3号线江湾镇房主自荐,930万,4室2厅 | 155.92平米 | 南 | 简装 | 低楼层(共11层) | 1999年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20170926/c301a9d8-05a8-493e-9ec3-1e0008113856.jpg.296x216.jpg
20201223,杨浦,五角场,为数不多的顶复+视野开阔+南北通透+品质小区+采光充足,1380万,4室2厅 | 174.4平米 | 南 北 | 其他 | 高楼层(共10层) | 2000年建 | 板楼,
20201223,杨浦,五角场,大学路，年轻人多，前财经后复旦，书香气息浓郁,850万,3室2厅 | 123.4平米 | 东 | 简装 | 低楼层(共10层) | 2006年建 | 板楼,
20201223,杨浦,五角场,大学路，年轻人多，交通商圈成熟,860万,3室2厅 | 123.4平米 | 东 | 简装 | 低楼层(共10层) | 2006年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/23e367e9-428c-4b64-8bcd-c1f5efd2aa2a.png.296x216.jpg
20201223,杨浦,五角场,五角场街道，精装修一房，税费低，诚心出售房主自荐,208万,1室1厅 | 40.41平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/9e708f3b-f4df-409e-adad-72b95a4c4560.png.296x216.jpg
20201223,杨浦,五角场,仁德路67弄 1室1厅 南,200万,1室1厅 | 40.76平米 | 南 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,
20201223,杨浦,五角场,五角场街道，低总价，小两房，诚意出售,230万,2室0厅 | 45.53平米 | 南 | 简装 | 中楼层(共5层) | 1991年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-4ca6a94f-d11b-4895-a047-5e3bec6b5f00.png.296x216.jpg
20201223,杨浦,五角场,精装修，双南2房，一楼带天井，五角场街道,279万,2室0厅 | 40平米 | 南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3ea57b43-f51f-4b1e-b660-919cc534f42a.jpeg.296x216.jpg
20201223,杨浦,五角场,满五不唯一+南北户型+电梯房+房龄新+近五角场,1050万,3室2厅 | 157.32平米 | 南 | 简装 | 中楼层(共12层) | 2003年建 | 板楼,
20201223,杨浦,五角场,次新电梯房,全明户型,面积大,可一家三代同堂住.,850万,4室1厅 | 143.87平米 | 南 | 简装 | 低楼层(共28层) | 2002年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/8e1fd031-0099-4279-a260-e3e6ebbcba0c.png.296x216.jpg
20201223,杨浦,五角场,政民路 近10号线江湾体育场 南北两房 万达商圈,315万,2室1厅 | 51平米 | 南 | 简装 | 低楼层(共6层) | 1986年建 | 板楼,
20201223,杨浦,五角场,五角场小3房，次新房，电梯房，诚意出售房主自荐,688万,3室2厅 | 98.42平米 | 东南 南 | 简装 | 25层 | 2005年建 | 塔楼,http://image1.ljcdn.com/x-se/310000-frame/rsp_pic_upload7524acfc-801a-4d0c-9690-e62abfcc604c.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一，房型正气，采光好，南北通风，商圈成熟,315万,1室1厅 | 45.45平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,
20201223,杨浦,五角场,业主精心设计装修、前后花园、有鱼塘，挑空厅，南北通,780万,2室1厅 | 86.43平米 | 南 | 简装 | 低楼层(共8层) | 2006年建 | 板楼,
20201223,杨浦,五角场,皇朝新城 5室3厅 西南,1150万,5室3厅 | 202.14平米 | 西南 | 简装 | 高楼层(共28层) | 2002年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/9c7daa70-9bd4-4af9-9890-8df6b97c5aba.jpg.296x216.jpg
20201223,杨浦,五角场,次新房电梯房，02年房龄全明户型五角场商圈，近地铁房主自荐,810万,3室1厅 | 135.55平米 | 西南 | 精装 | 高楼层(共28层) | 2002年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/test-bd6ac14f-e455-4467-a3e5-7d33e70fd9c4.png.296x216.jpg
20201223,杨浦,五角场,全明户型低楼层适合老人小孩住。,440万,2室1厅 | 63.67平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/34580ef4-edf6-43e8-8fcb-9d066e502a52.png.296x216.jpg
20201223,杨浦,五角场,挑高客厅-正气大三房-带车位-双阳台-90平露台房主自荐,1350万,3室2厅 | 152.88平米 | 南 | 简装 | 高楼层(共8层) | 2008年建 | 板楼,
20201223,杨浦,五角场,五角场街道，金三楼层，不靠马路，满五唯一，近地铁站,348万,1室1厅 | 54.83平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,
20201223,杨浦,五角场,双轨交通，精装修，税费少，诚心出售。,258万,1室1厅 | 44.17平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/33d16789-b7fd-4af7-a6b5-de9c85daac1e.png.296x216.jpg
20201223,杨浦,五角场,电梯中区，南北通飞机户型，含带窗储藏室，有子母车位,1150万,3室2厅 | 132.85平米 | 南 | 简装 | 中楼层(共12层) | 2001年建 | 板楼,
20201223,杨浦,五角场,皇朝新城 3室2厅 东南新上,830万,3室2厅 | 136.1平米 | 东南 | 简装 | 中楼层(共28层) | 2002年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_w6iCobSXE_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场精装修一房，拎包即住，年轻人看过来！新上,220万,1室1厅 | 32.47平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vjmv13UbG.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一，税费少，低总价小一房新上,239万,1室1厅 | 40.56平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zRc7miUuq.jpg.296x216.jpg
20201223,杨浦,五角场,精装  满五唯一  税费少  1999年  五角场,398万,2室1厅 | 67.75平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zSnIvdHzR_1.jpg.296x216.jpg
20201223,杨浦,五角场,改善型住宅、五角场街道、配套好，坐拥五角场较好位置,675万,3室1厅 | 106.58平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6DD6cBaa3.jpg.296x216.jpg
20201223,杨浦,五角场,政通路285弄 1室1厅 南,245万,1室1厅 | 34.09平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hvhX8JElG_1.jpg.296x216.jpg
20201223,杨浦,五角场,政肃路45弄 2室1厅 南,375万,2室1厅 | 46.92平米 | 南 | 其他 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kv4O2bLu0_1.jpg.296x216.jpg
20201223,杨浦,五角场,交通便利，近地铁，顶层复式，朝南户型方正带露台,888万,3室2厅 | 124.09平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2ZobX05q4.jpg.296x216.jpg
20201223,杨浦,五角场,精装南北两房 一梯三户  大学路 百联万达旁 随时看房主自荐,372万,2室1厅 | 53.19平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6h4D8UaiQ_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场大学路旁小两房，紧靠复旦财大,335万,2室1厅 | 55平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_782QG3tYo_1.jpg.296x216.jpg
20201223,杨浦,五角场,户型正气+两房朝南+楼层好+不靠马路+环境优越+急售,360万,2室1厅 | 50.05平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-d8d92f36-901b-479f-bdb1-b4645bbe20d3.jpg.296x216.jpg
20201223,杨浦,五角场,双南户型，装修30多万，采光好，视野好，1梯3户,450万,2室1厅 | 70.23平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-23c5a58f-bde3-4c1f-97c7-41399e11ce22.jpg.296x216.jpg
20201223,杨浦,五角场,网红财大小区 中间楼层边套好房新上,332万,1室1厅 | 49.71平米 | 南 北 | 其他 | 中楼层(共6层) | 1996年建 | 板楼,
20201223,杨浦,五角场,国顺路400弄 2室1厅 南,355万,2室1厅 | 51.22平米 | 南 | 其他 | 高楼层(共6层) | 1987年建 | 板楼,
20201223,杨浦,五角场,1992年房龄 中间层 标准一室 有钥匙 随时可看,238万,1室1厅 | 38.31平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/e016b0c7-e084-4c89-8090-25abec2b19ad.png.296x216.jpg
20201223,杨浦,五角场,电梯景观大复式，全屋朝南，6米挑高，双露台新上,1380万,3室2厅 | 188.22平米 | 南 | 精装 | 高楼层(共10层) | 2000年建 | 板楼,
20201223,杨浦,五角场,五角场，2006年，电梯高层，非顶楼，一梯两户，税少,600万,3室2厅 | 130.56平米 | 南 | 简装 | 高楼层(共13层) | 2006年建 | 板楼,
20201223,杨浦,五角场,五角万达 南北通 边套全明 中等装修 中楼层 诚意卖,350万,2室1厅 | 49.37平米 | 南 | 简装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20160718/fe2d9d93-eea2-42fa-988c-b9f70b0918d8.jpg.296x216.jpg
20201223,杨浦,五角场,铁路新村(杨浦) 1室0厅 南,270万,1室0厅 | 36.95平米 | 南 | 简装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/68fa028f-47f0-46d4-83fe-b56b1bedf5a0.png.296x216.jpg
20201223,杨浦,五角场,一居室朝南 精装修 近地铁 采光通风好,240万,1室1厅 | 38.31平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/1faeab7b-b9f5-4795-93b4-f5f9c535ac16.png.296x216.jpg
